RowID,Name,Label,TTL-16Xe,TTL-16Xe-MixFmt
8,GT_FREQ_GHZ,GT Freq (GHz),1.9,1.9
26,XECU_COUNT,XeCU count,1,1
27,XECORE_PER_XECU,XeCore per XeCU,16,16
28,EU_PER_XECORE,EU per XeCore,8,8
29,L2_BANKS_PER_XECU,L2 banks per XeCU,16,16
30,BANK_CAPACITY_MB,bank capacity (MB),1.5,1.5
32,DPAS_DEPTH,DPAS depth,8,8
35,COMPUTE_EFFICIENCY_PCT,compute Efficiency %,1,1
86,L1_READ_MAX_B_EU_CLK,L1 read max (B/EU/clk),32,32
87,L1_WRITE_MAX_B_EU_CLK,L1 write max (B/EU/clk),16,16
97,GTI_READ_MAX_BW_B_CLK,GTI Read max BW (B/clk),256,256
98,GTI_WRITE_MAX_BW_B_CLK,GTI Write max BW(B/clk),256,256
124,MAX_POSSIBLE_HBM_BW_GB_S,max possible HBM BW (GB/s),307,307
1000,MIXED_PRECISION_DPAS,native DPAS mixed-precision support,0,1
1001,__NEXT_AVAILABLE_ROW_ID__,New machine pre-defined input parameters use RowIDs 1000-1999,,
